,Iata_Code,Icao_Code,Call_Sign,Name,Country_Code
1,1T,RNX,NEXTIME,1Time Airline,101
2,Q5,MLA,MILE-AIR,40-Mile Air,41
3,1B,BGH,,Abacus International,71
4,W9,AAB,ABG,Abelag Aviation,191
5,E4,RSO,AERO ASIA,Aero Asia International,11
6,ZI,AAF,AIGLE AZUR,Aigle Azur,81
7,OZ,AAR,ASIANA,Asiana Airlines,171
8,4K,AAS,AL-AAS,Askari Aviation,101
9,8U,AAW,AFRIQIYAH,Afriqiyah Airways,41
10,Q9,AFU,,Afrinat International Airlines,1
11,KI,AAG,ATLANTIC,Air Atlantique,31
12,LD,AHK,AIR HONG KONG,Air Hong Kong,181
13,UX,AEA,EUROPA,Air Europa,191
14,I9,AEY,AIR ITALY,Air Italy,81
15,NX,AMU,AIR MACAO,Air Macau,11
16,ZV,AMW,AIR MIDWEST,Air Midwest,161
17,HM,SEY,SEYCHELLES,Air Seychelles,61
18,JA,BON,AIR BOSNA,Air Bosna,11
19,AF,AFR,AIRFRANS,Air France,21
20,SB,ACI,AIRCALIN,Air Caledonie International,11
21,EH,AKX,ALFA WING,Air Nippon Network Co. Ltd.,161
22,ZW,AWI,AIR WISCONSIN,Air Wisconsin,151
23,YI,RSI,AIR SUNSHINE,Air Sunshine,51
24,GN,AGN,GOLF NOVEMBER,Air Gabon,111
25,NQ,AJX,AIR JAPAN,Air Japan,21
26,VD,KPA,KUN PENG,Air LibertÃ©,71
27,TT,KLA,KAUNAS,Air Lithuania,161
28,6M,AMG,AIR MINAS,Air Minas Linhas AÃ©reas,61
29,4N,ANT,AIR NORTH,Air North Charter,11
30,NZ,ANZ,NEW ZEALAND,Air New Zealand,91
31,QM,AML,MALAWI,Air Malawi,81
32,DR,BIE,MEDITERRANEE,Air Mediterranee,141
33,OC,ABL,AIRCOACH,Air BC,91
34,G8,AGB,,Air Service Gabon,181
35,7T,AGV,AIR GLACIERS,Air Glaciers,31
36,6V,VGA,AIR VEGAS,Air Vegas,101
37,NH,ANA,ALL NIPPON,All Nippon Airways,161
38,TZ,TWG,TWINGOOSE,air-taxi europe,131
39,2Q,SNC,NIGHT CARGO,Air Cargo Carriers,131
40,V7,SNG,AIR SENEGAL,Air Senegal International,151
41,AB,BER,AIR BERLIN,Air Berlin,121
42,4D,ASD,AIR SINAI,Air Sinai,211
43,QN,ARR,AIR ARMENIA,Air Armenia,31
44,AG,ABR,CONTRACT,Air Contractors,21
45,AI,AIC,AIRINDIA,Air India,21
46,PJ,SPM,,Air Saint Pierre,101
47,SZ,WOW,SWALLOW,Air Southwest,81
48,8C,ATN,AIR TRANSPORT,Air Transport International,191
49,NF,AVN,AIR VAN,Air Vanuatu,101
50,ZB,BUB,BOURBON,Air Bourbon,101
51,CC,ABD,ATLANTA,Air Atlanta Icelandic,181
52,3H,AIE,AIR INUIT,Air Inuit,121
53,XG,AIS,SURESTE,Air Sureste,81
54,RB,SBK,Air Srpska,Air Srpska,21
55,TN,THT,TAHITI AIRLINES,Air Tahiti Nui,191
56,SW,NMB,NAMIBIA,Air Namibia,31
57,PE,AEL,AIR EUROPE,Air Europe,151
58,JM,AJM,JAMAICA,Air Jamaica,81
59,6G,AWW,RED DRAGON,Air Wales,131
60,TX,FWI,FRENCH WEST,Air CaraÃ¯bes,201
61,IX,AXB,EXPRESS INDIA,Air India Express,71
62,BT,BTI,AIRBALTIC,Air Baltic,121
63,EL,ANK,ANK AIR,Air Nippon,111
64,YW,ANE,AIR NOSTRUM,Air Nostrum,91
65,PX,ANG,NUIGINI,Air Niugini,201
66,G9,ABY,ARABIA,Air Arabia,1
67,AC,ACA,AIR CANADA,Air Canada,61
68,AP,ADH,HERON,Air One,21
69,XT,AXL,EXEL COMMUTER,Air Exel,1
70,UM,AZW,AIR ZIMBABWE,Air Zimbabwe,11
71,S2,RSH,SAHARA,Air Sahara,11
72,TC,ATC,TANZANIA,Air Tanzania,121
73,2J,VBW,BURKINA,Air Burkina,51
74,KM,AMC,AIR MALTA,Air Malta,31
75,YT,TGA,AIR TOGO,Air Togo,211
76,6O,ASJ,SATELLITE,Air Satellite,151
77,G4,AAY,ALLEGIANT,Allegiant Air,171
78,K5,ABE,ABAN,Aban Air,1
79,M3,TUS,ABSA Cargo,ABSA - Aerolinhas Brasileiras,61
