,Code,Name,City,Postal_Code,Country_Code,Longitude,Latitude,Gmt_Offset,World_Area_Code
1,AAA,Anaa,Anaa,,10,-145.5,-17.4167,10,823
2,AAB,Arrabury,Arrabury,,90,141,-26.75,-10,802
3,AAC,Al Arish International Airport,Al Arish,,70,33.8358,31.0733,2,591
4,AAD,Ad-Dabbah,Ad-Dabbah,,130,33.9592,17.5928,,583
5,AAE,Les Salines,Annaba,,180,8,36.8333,-1,500
6,AAF,Municipal,Apalachicola,32320,70,-85.0333,29.7333,5,67
7,AAG,Arapoti,Arapoti,,140,-49.6667,-24.1667,,316
8,AAH,Aachen/Merzbruck,Aachen,,100,6.1861,50.8231,1,623
9,AAI,Arraias,Arraias,,90,-46.9333,-12.9167,3,316
10,AAJ,Cayana Airstrip,Awaradam,,20,-55.5792,3.8967,-3,379
11,AAK,Aranuka,Aranuka,,120,174,0.2167,-12,824
12,AAL,Aalborg,Aalborg,,90,9.85,57.1,-1,419
13,AAM,Mala Mala,Mala Mala,,100,31.5333,-24.8,-2,562
14,AAN,Al Ain,Al Ain,,190,55.6092,24.2617,4,678
15,AAO,Anaco,Anaco,,80,-64.4667,9.4167,4,388
16,AAP,Andrau Airpark,Houston,77082,50,-95.5883,29.7239,-6,67
17,AAQ,Anapa,Anapa,,160,37.3167,44.9,-2,770
18,AAR,Aarhus Airport,Aarhus,,160,10.6261,56.3072,1,419
19,AAS,Apalapsili,Apalapsili,,70,139.25,-3.9167,-9,832
20,AAT,Altay,Altay,,160,89.5,43.9333,-8,713
21,AAU,Asau,Asau,,20,-172.6,-13.4583,11,892
22,AAV,Allah Valley,Surallah,,20,124.7514,6.3669,8,766
23,AAW,Abbottabad,Abbottabad,,60,73.25,34.2,5,764
24,AAX,Araxa,Araxa,,80,-46.9292,-19.5681,3,316
25,AAY,Al Ghaydah,Al Ghaydah,,210,52.1833,16.2,-3,694
26,AAZ,Ambriz,Ambriz,,40,13.1161,-7.8622,1,127
27,ABA,Abakan,Abakan,,170,91.4333,53.7167,-2,770
28,ABB,RAF Station,Abingdon,,190,-1.2833,51.6667,,493
29,ABC,Los Llanos,Albacete,,160,-1.85,38.9833,,482
30,ABD,Abadan,Abadan,,190,48.2333,30.3667,-3.5,632
31,ABE,Lehigh Valley International,Allentown,18109,150,-75.4403,40.6522,-5,67
32,ABF,Abaiang,Abaiang,,60,172.8333,1.4167,-12,824
33,ABG,Abingdon,Abingdon,,70,143.2,-17.6667,-10,802
34,ABH,Alpha,Alpha,,200,146.5833,-23.7,-10,802
35,ABI,Municipal,Abilene,,200,-99.6833,32.4167,6,67
36,ABJ,Felix Houphouet Boigny,Abidjan,,20,-3.9333,5.25,,533
37,ABK,Kabri Dar,Kabri Dar,,210,44.2667,6.7333,-3,522
38,ABL,Ambler,Ambler,99786,20,-157.8167,67.1,9,67
39,ABM,Bamaga Injinoo,"Bamaga, Queensland",,180,142.4594,-10.9508,-10,802
40,ABN,Albina,Albina,,40,-54.05,5.4833,3,379
41,ABO,Aboisso,Aboisso,,0,-3.2,5.4667,,533
42,ABP,Atkamba,Atkamba,,130,141.1,-6.0667,-10,804
43,ABQ,Albuquerque International,Albuquerque,87106,80,-106.6092,35.0403,-7,67
44,ABR,Municipal,Aberdeen,39730,200,-98.4333,45.45,6,67
45,ABS,Abu Simbel,Abu Simbel,,110,31.6167,22.3667,-2,591
46,ABT,Al-Aqiq,Al-Baha,,180,42.2167,22.8333,-3,670
47,ABU,Atambua,Atambua,,100,124.9,-9.3333,-8,832
48,ABV,Nnamdi Azikiwe International Airport,Abuja,,110,7.2631,9.0067,1,555
49,ABW,Abau,Abau,,180,148.7,-10.1667,-10,804
50,ABX,Albury,Albury,,60,146.95,-36.0667,-10,802
51,ABY,Dougherty County,Albany,31721,110,-84.2,31.5333,5,67
52,ABZ,Dyce,Aberdeen,,160,-2.2,57.2,,493
53,ACA,General Juan N. Alvarez International,Acapulco,,60,-99.7536,16.7569,-6,148
54,ACB,Antrim County,Bellaire,49615,60,-85.2028,44.9833,5,67
55,ACC,Kotoka,Accra,,60,-0.1667,5.6,,529
56,ACD,Acandi,Acandi,,10,-73.6333,8.5,5,327
57,ACE,Lanzarote,Arrecife,,170,-13.6053,28.9456,,482
58,ACH,Altenrhein,Altenrhein,,30,9.55,47.4833,-1,486
59,ACI,The Blaye,Alderney,,60,-2.2167,49.7,,493
60,ACJ,Anuradhapura,Anuradhapura,,20,80.3833,8.35,,711
61,ACK,Nantucket Memorial,Nantucket,2554,210,-70.0667,41.2667,5,67
62,ACL,Aguaclara,Aguaclara,,20,-73,4.75,5,327
63,ACM,Arica,Arica,,120,-71.7833,-2.1333,5,327
64,ACN,International,Ciudad Acuna,,170,-100.9167,29.3,6,148
65,ACO,Ascona,Ascona,,0,8.7667,46.1594,1,486
66,ACP,Sahand,Sahand,,210,46.45,37.7333,,632
67,ACR,Araracuara,Araracuara,,170,-72.3,-0.3833,5,327
68,ACS,Achinsk,Achinsk,,40,90.5667,56.2667,-2,770
69,ACT,Municipal,Waco,,10,-97.2333,31.6167,6,67
70,ACU,Achutupo,Achutupo,,60,-77.9667,8.4333,5,162
71,ACV,Arcata,Arcata,95519,50,-124.1,40.9833,8,67
